['392匹配结果:0.469501197338104', '394匹配结果:0.964104115962982', '393匹配成功置信度：0.924549639225006']
['388匹配结果:0.472188055515289', '390匹配结果:0.964239120483398', '389匹配成功置信度：0.960691690444946']
['378匹配结果:0.44759464263916', '380匹配结果:0.957909107208252', '379匹配成功置信度：0.965150415897369']
['382匹配结果:0.474184811115265', '384匹配结果:0.913760304450989', '384匹配成功置信度：0.913760304450989']
['372匹配结果:0.471348524093628', '374匹配结果:0.906949758529663', '374匹配成功置信度：0.906949758529663']
['370匹配结果:0.690251171588898', '372匹配结果:0.967474937438965', '371匹配成功置信度：0.971013844013214']
['384匹配结果:0.474383115768433', '386匹配结果:0.965225398540497', '385匹配成功置信度：0.889388918876648']
['346匹配结果:0.473897963762283', '348匹配结果:0.963345587253571', '347匹配成功置信度：0.887978613376617']
['390匹配结果:0.470540761947632', '392匹配结果:0.962174773216248', '391匹配成功置信度：0.930580377578735']
['378匹配结果:0.674028098583221', '380匹配结果:0.962912976741791', '379匹配成功置信度：0.955740630626678']
['350匹配结果:0.469604253768921', '352匹配结果:0.963704288005829', '351匹配成功置信度：0.957866847515106']
['376匹配结果:0.471318989992142', '378匹配结果:0.960770785808563', '378匹配成功置信度：0.960770785808563']
['378匹配结果:0.471021711826324', '380匹配结果:0.920631051063538', '380匹配成功置信度：0.920631051063538']
['368匹配结果:0.466026782989502', '370匹配结果:0.956021070480347', '370匹配成功置信度：0.956021070480347']
['370匹配结果:0.471105366945267', '372匹配结果:0.956344902515411', '372匹配成功置信度：0.956344902515411']
['404匹配结果:0.498136132955551', '406匹配结果:0.957650482654572', '405匹配成功置信度：0.9550501704216']
['382匹配结果:0.470824688673019', '384匹配结果:0.952189981937408', '384匹配成功置信度：0.952189981937408']
['392匹配结果:0.449391514062881', '394匹配结果:0.962765097618103', '393匹配成功置信度：0.960914850234985']
['368匹配结果:0.465522140264511', '370匹配结果:0.957879781723022', '370匹配成功置信度：0.957879781723022']
['364匹配结果:0.466825693845749', '366匹配结果:0.955862104892731', '366匹配成功置信度：0.955862104892731']
['372匹配结果:0.463399738073349', '374匹配结果:0.953053653240204', '373匹配成功置信度：0.946338653564453']
['380匹配结果:0.465584456920624', '382匹配结果:0.95075923204422', '382匹配成功置信度：0.95075923204422']
['382匹配结果:0.465668141841888', '384匹配结果:0.955850124359131', '383匹配成功置信度：0.913686335086823']
['376匹配结果:0.594852328300476', '378匹配结果:0.95165079832077', '377匹配成功置信度：0.956090271472931']
['384匹配结果:0.474790543317795', '386匹配结果:0.95632928609848', '386匹配成功置信度：0.95632928609848']
['334匹配结果:0.461709380149841', '336匹配结果:0.949908673763275', '336匹配成功置信度：0.949908673763275']
